id;node_a;node_b;distance;incline_ab;decline_ab;type
;EC_1;EC_2;6,7;245;;markerad led
;EC_2;EC_4;5,3;58;;markerad led
;EC_4;EC_3;3,4;36;;markerad led
;EC_2;DC_1;12,2;219;;unmarkerad led
;EC_1;EC_5;0;0;;båttur
;EC_5;EB_1;12,2;164;;markerad led
;EC_3;DD_1;19,3;443;;markerad led
;DD_1;DD_2;0;0;;båttur
;DD_2;DD_3;1;36;;markerad led
;DD_3;DD_4;1,2;237;;markerad led
;DD_4;DD_5;6;341;;stig
;DC_1;DB_1;11,9;486;;stig
;DB_1;DB_2;10,2;110;;stig
;DB_2;DB_3;2,9;190;;obanad
;DB_2;DB_4;7,7;222;;stig
;DB_4;DB_5;3,3;388;;obanad
;DB_3;DB_5;7,5;408;;obanad
;DB_3;DB_8;4,4;282;;
;CB_2;DB_8;2,9;429;;obanad
;DB_5;CB_1;2,4;0;;obanad
;CB_1;CB_3;6,2;72;;obanad
;CB_3;CB_2;4,3;0;;obanad
;CB_3;CB_13;7,3;291;;obanad
;CB_4;CB_5;9,5;83;;obanad
;CB_4;CB_13;1,1;;;stig
;CB_5;CC_1;4,6;92;;stig, svår att följa
;CC_1;CB_7;8,9;1138;;travers
;CC_1;BB_1;4,3;80;;stig
;BB_1;BB_2;5,4;403;;obanad
;BB_1;BB_3;7,1;44;;stig
;BB_2;BB_3;4,1;0;;obanad
;CB_7;BB_2;1,5;0;;obanad
;BB_3;BB_6;4,8;20;;stig
;BB_6;BB_4;5,6;0;;dålig stig
;BB_4;AB_1;9,1;0;;stig
;BB_4;AB_2;10,4;50;;obanad
;AB_2;AB_3;5,2;80;;markerad led
;AB_1;AB_2;8,4;55;;markerad led
;DB_8;DB_6;4,3;128;;obanad
;DB_6;DB_1;11,3;296;;obanad
;DB_6;DB_7;5,6;0;;obanad
;DC_1;DC_3;13,5;333;;obanad
;DC_3;DC_2;7;396;;obanad
;DC_3;DC_4;7,2;333;;obanad
;DC_3;DC_5;6,5;450;;obanad
;DC_2;DB_7;5,4;0;;obanad
;DC_4;CC_3;6,1;0;;obanad
;DC_5;CC_3;6,1;0;;obanad
;DB_7;CC_2;1,7;0;;obanad
;CC_2;CC_3;1,9;0;;obanad
;CB_2;CC_2;5,8;0;;obanad
;CB_3;CB_6;5,5;978;;obanad
;CB_6;CB_4;5,4;92;;obanad
;CC_3;CC_4;3,4;0;;obanad
;CC_4;CC_5;3,2;0;;obanad
;CC_4;CC_6;7,6;220;;obanad
;CC_5;CC_6;8,8;465;;stig
;CC_6;CC_7;0,9;4;;stig
;CC_7;CC_1;5,8;71;;stig
;CC_7;BC_1;12,2;162;;obanad
;CC_6;CD_1;20,1;255;;stig
;BC_1;BC_2;6,1;30;;obanad
;BC_1;BB_4;29,1;307;;obanad
;BC_2;BD_1;15,9;146;;delvis stig
;BC_2;BD_2;20,6;355;;delvis stig
;BD_2;DD_7;19,2;451;;markerad led
;DD_7;DD_6;3,6;0;;roddbåt?
;DD_6;DD_4;7,1;329;;markerad led
;DD_5;DD_6;16,1;504;;obanad
;DD_2;DD_8;0;0;;motorbåt, hyrs
;DD_8;DC_6;15,1;146;;stig
;DC_6;CC_5;7;33;;stig
;DD_7;CD_1;0;0;;motorbåt, hyrs
;CB_5;CB_8;11;66;;obanad
;CB_8;BB_5;8,5;109;;obanad
;BB_5;BB_6;9,4;174;;obanad
;EB_1;DB_9;21,7;305;;markerad led
;DB_9;EC_1;30,8;728;;obanad
;CA_1;CB_11;24,7;452;;obanad
;DB_4;CB_12;6,9;138;;obanad
;CB_12;CB_1;4,4;57;;obanad
;CB_12;CB_9;3,1;0;;obanad
;CB_1;CB_9;4,9;24;;obanad
;CB_9;CB_10;2,6;13;;obanad
;CB_10;CB_11;2;15;;obanad
;CB_11;CB_8;13,3;233;;obanad
;CB_10;CB_13;5,6;41;;obanad
;CB_13;CB_11;6,1;62;;obanad
;DB_9;DB_10;10,5;161;;markerad led
;DB_10;CB_12;9,4;249;;obanad
;CA_1;DB_10;26,8;438;;markerad led
